Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
nutritionist,"Posted on March 27, 2024",Serespro,"Laval, QC",32.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,5 vacancies,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40643708?source=searchresults
"driver, taxi","Posted on March 11, 2024",FIBROTEK MATÉRIAUX AVANCÉS INC.,"Clermont, QC",15.25 BIWEEKLY,15 hours per week,Casual employmentPart time leading to full time,,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480130?source=searchresults
cook's helper,"Posted on March 20, 2024",9423-3582 Québec Inc.,"Drummondville, QC",15.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,French,"No degree, certificate or diploma",Will train,,"Health care plan, Gratuities, Free parking available",4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40566949?source=searchresults
day camp leader,"Posted on March 16, 2024",Canadian Forces Morale and Welfare Services - CFMWS,"Québec, QC",17.33 HOUR,,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40536285?source=searchresults
electrician,"Posted on March 21, 2024",CENTRE DE SERVICES SCOLAIRE DES PHARES,"Rimouski, QC",29.22 HOUR,38.45 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40577909?source=searchresults
engineering service project manager,"Posted on March 15, 2024",Fed Ingénierie,"Repentigny, QC","90,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527417?source=searchresults
housekeeper,"Posted on January 26, 2024",Premiere Suites Montreal,"Saint-Laurent, QC",19.00 HOUR,30 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, wash and polish floors, Dust furniture, Vacuum carpeting, area rugs, draperies and upholstered furniture, Make beds and change sheets, Distribute clean towels and toiletries, Stock linen closet, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Handle and report lost and found items, Attend to guests' requests for extra supplies or other items, Provide basic information on facilities, Pick up debris and empty trash containers, Perform light housekeeping and cleaning duties, Wash windows, walls and ceilings, Address customers' complaints or concerns",,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40122883?source=searchresults
nanny,"Posted on March 05, 2024",Gregory Christie,"Westmount, QC",16.00 HOUR,40 hours per week,Term or contract (ending: 2026-06-02)Full time,,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Shop for food and household supplies, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Sterilize bottles, prepare formulas and change diapers for infants, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children, Cook",,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40433261?source=searchresults
electrical technician,"Posted on March 05, 2024",MAAX Bath Inc.,"Sainte-Marie, QC",35.68 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40432707?source=searchresults
ladle crane operator,"Posted on March 26, 2024",Structures d'acier Élite INC.,"Saint-Eustache, QC",22.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40623677?source=searchresults
civil engineer,"Posted on March 20, 2024",VILLE DE GASPE,"Gaspé, QC","80,602 YEAR",40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40569354?source=searchresults
service adviser,"Posted on March 28, 2024",Roulottes Lévesque,"Sainte-Hélène-de-Bagot, QC",19.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646924?source=searchresults
auto body repairer,"Posted on January 22, 2024",Châssis d'Auto Idéal (Montréal) Inc.,"Montréal, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"No degree, certificate or diploma",5 years or more,"Review damage report and estimates of repair cost and plan work to be performed, Replace front end components, body components, doors and frame and underbody components, Hammer out dents, buckles and defects using blocks and hammers, Remove damaged fenders, panels and grills and bolt or weld replacement parts into place, Operate soldering equipment or use plastic filler to fill holes, dents and seams, Straighten bent frames using frame and underbody pulling and anchoring equipment",,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40084346?source=searchresults
nanny,"Posted on January 17, 2024",Vanessa Cogan,"Montréal, QC",15.25 HOUR,40 hours per week,Term or contract (ending: 2026-02-01)Full time,,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Shop for food and household supplies, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Sterilize bottles, prepare formulas and change diapers for infants, Take children to and from school and to appointments, Tend to emotional well-being of children",,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40042658?source=searchresults
kitchen helper,"Posted on January 29, 2024",8094705 CANADA INC,"Montréal, QC",15.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Place dishes in storage area, Sanitize and wash dishes and other items by hand, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Wash, peel and cut vegetables and fruit",,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40146498?source=searchresults
apprentice motor vehicle mechanic,"Posted on February 26, 2024",Jr Moteur,"Terrebonne, QC",25.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,French,"Registered Apprenticeship certificate

or equivalent experience",1 year to less than 2 years,,"Free parking available, On-site amenities",3/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40367405?source=searchresults
building cleaner,"Posted on February 07, 2024",Les restaurants Mcdonald's,"Jonquière, QC",17.10 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,,"Dental plan, Disability benefits, Paramedical services coverage, Vision care benefits, Group insurance benefits, Life insurance, Free parking available, Other benefits, Team building opportunities, Parking available",4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40229444?source=searchresults
housekeeping attendant,"Posted on March 25, 2024",Motel Impérial de Percé,"Percé, QC",18.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,5/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40620540?source=searchresults
front desk manager,"Posted on March 27, 2024",9143-0967 QUEBEC INC.,"Québec, QC",21.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40639565?source=searchresults
playground leader,"Posted on March 22, 2024",MUNICIPALITE DE SAINT-DENIS-DE-BROMPTON,"Saint-Denis-de-Brompton, QC",17.75 BIWEEKLY,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40590154?source=searchresults
shift manager - fast food restaurant,"Posted on March 06, 2024",LES PLACEMENTS LOUIS-MICHEL BRADETTE INC.,"Dolbeau-Mistassini, QC",16.35 HOUR,32.4 hours per week,Permanent employmentFull time,,8 vacancies,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40438106?source=searchresults
material handler,"Posted on March 15, 2024",Ancrages Canadiens Hegedus,"Laval, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527394?source=searchresults
customer service clerk,"Posted on March 18, 2024",Société de développement de la Baie-James,"Radisson, QC",20.56 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550280?source=searchresults
barker operator,"Posted on March 13, 2024",IPL North America,"Saint-Damien-de-Buckland, QC",21.32 HOUR,,Permanent employmentFull time,Starts as soon as possible,7 vacancies,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40505449?source=searchresults
horticulturist,"Posted on March 08, 2024",9218-7087 QUEBEC INC.,"Mascouche, QC",25 WEEKLY,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40458577?source=searchresults
"head, property section","Posted on March 25, 2024",Ville de Laval,"Laval, QC","80,696.95 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616745?source=searchresults
clinical nurse,"Posted on February 02, 2024",Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,"Trois-Rivières, QC",27.08 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,15 vacancies,French,Bachelor's degree,1 to less than 7 months,,"Disability benefits, Health care plan, As per collective agreement, Bonus, Life insurance, Mileage paid, Pension plan, Long-term care insurance, Maternity and parental benefits, Parking available, Wellness program",4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40186339?source=searchresults
biochemistry laboratory technician,"Posted on March 22, 2024",Ciment Québec inc.,"Saint-Basile, QC",41.60 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40586032?source=searchresults
assistant manager - food store,"Posted on March 21, 2024",Princess Auto Ltd,"Joliette, QC",20.90 HOUR,,Permanent employment,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40582635?source=searchresults
Web integrator,"Posted on March 27, 2024",MINISTERE DU CONSEIL EXECUTIF,"Québec, QC",19.21 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40639532?source=searchresults
shipping clerk,"Posted on March 04, 2024",Breton Revêtements Métalliques inc.,"Saint-Bernard, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40421931?source=searchresults
fleet sales representative,"Posted on March 05, 2024",Bédard Ressources inc.,"Longueuil, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40433022?source=searchresults
social media community manager,"Posted on March 22, 2024",LAVOIE-BOURBONNAIS,"Sawyerville, QC",20.00 HOUR,25 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40592134?source=searchresults
concrete block machine operator,"Posted on March 04, 2024",Agremat,"Acton Vale, QC",20.00 HOUR,21.5 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40423035?source=searchresults
"cleaner, swimming pool","Posted on March 01, 2024",Motel La Marina,"Matane, QC",15.75 HOUR,21 hours per week,Seasonal employmentPart time,,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40405408?source=searchresults
nursing assistant (non-registered),"Posted on March 12, 2024",CISSS ABITIBI-TEMISCAMINGUE,"Val-d'Or, QC",24.87 HOUR,35 hours per week,Permanent employmentFull time,,5 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40493834?source=searchresults
